Country Name,Country Code,Jahr,GDP,GDP_per_Capita,Inflation,Population,Unemployment
Argentina,ARG,1993,236741715015.015,6931.85596375876,,34152717.0,10.1
Australia,AUS,1993,312568858909.5,17724.5399501656,1.75365344467641,17634808.0,10.879
Brazil,BRA,1993,368295778245.09,2348.90635436384,1927.38079016026,156794577.0,6.03
Canada,CAN,1993,579053561739.4,20186.7988782965,1.86507936507939,28684764.0,11.377
China,CHN,1993,446557291212.148,378.939353053314,14.6100786356602,1178440000.0,2.69
France,FRA,1993,1314383368079.69,22238.8250618434,2.10446277124644,59103094.0,11.32
Germany,DEU,1993,2078954217437.6,25616.6508772405,4.47457650752808,81156363.0,7.675
India,IND,1993,279295648982.529,302.884806246174,6.32689048779867,922118387.0,7.662
Indonesia,IDN,1993,158006700301.533,817.395116417856,9.6719108926401,193305168.0,2.782
Italy,ITA,1993,1067412587670.73,18781.9529427137,4.62673468331298,56831821.0,10.212
Japan,JPN,1993,4536940479038.25,36345.2441262708,1.24304589707924,124829000.0,2.539
"Korea, Rep.",KOR,1993,405705302846.447,9179.96872485152,4.80099660215354,44194628.0,2.878
